webtitle,sectionname,publisheddate,webLinks
Billionaire Modi ally on verge of taking over independent Indian news channel ,World news,2022-12-01T13:39:06Z,https://www.theguardian.com/world/2022/dec/01/indian-billionaire-gautam-adani-ties-to-narendra-modi-to-control-independent-news-group-ndtv
The Guardian view on Modi’s India: the danger of exporting Hindu chauvinism | Editorial,Opinion,2022-11-27T18:08:03Z,https://www.theguardian.com/commentisfree/2022/nov/27/the-guardian-view-on-modis-india-the-danger-of-exporting-hindu-chauvinism
Sunak hints he will slow down progress on India trade deal,Politics,2022-11-15T22:30:03Z,https://www.theguardian.com/politics/2022/nov/15/rishi-sunak-uk-india-trade-deal-g20
‘Groundbreaking milestone’: world reacts to Rishi Sunak as new British PM,Politics,2022-10-25T13:15:10Z,https://www.theguardian.com/politics/2022/oct/25/groundbreaking-milestone-world-reacts-to-rishi-sunak-as-next-british-prime-minister
"Indian minister calls for abolition of 1,500 laws dating back to Raj",World news,2022-10-25T08:47:09Z,https://www.theguardian.com/world/2022/oct/25/indian-minister-calls-for-abolition-of-1500-laws-dating-back-to-raj
Modi employs new tool in India’s war against the English language: Hindi medical degrees,World news,2022-10-22T04:00:58Z,https://www.theguardian.com/world/2022/oct/22/modi-employs-new-tool-in-indias-war-against-the-english-language-hindi-medical-degrees
‘Painful memories’: what will the royal family do with the Koh-i-noor diamond?,UK news,2022-10-14T12:18:07Z,https://www.theguardian.com/uk-news/2022/oct/14/koh-i-noor-diamond-royal-family-india-modi-queen-consort
"In Britain and India, we must resist the tragic thinking that pits Hindus against Muslims | Chetan Bhatt",Opinion,2022-10-11T13:28:19Z,https://www.theguardian.com/commentisfree/2022/oct/11/britain-india-hindus-muslims-leicester-bjp
Narendra Modi’s BJP bans Indian Islamic group for ‘terrorist’ links,World news,2022-09-29T12:56:01Z,https://www.theguardian.com/world/2022/sep/29/narendra-modis-bjp-bans-islamic-group-in-india-for-terrorist-links
Shinzo Abe funeral: world figures fly in to political storm over state service for Japan former PM,World news,2022-09-26T05:56:23Z,https://www.theguardian.com/world/2022/sep/26/shinzo-abe-funeral-world-figures-fly-in-to-political-storm-over-state-service-for-japan-former-pm
Ukraine war to take centre stage at UN as west and Russia vie for support,World news,2022-09-20T05:00:03Z,https://www.theguardian.com/world/2022/sep/20/united-nations-ukraine-russia-war-climate-crisis-famine-global-south
Indian government accused of ceding land in Himalayas to China,World news,2022-09-19T09:58:37Z,https://www.theguardian.com/world/2022/sep/19/indian-people-living-near-border-accuse-government-of-ceding-land-to-china
Russia-Ukraine war latest: what we know on day 207 of the invasion,World news,2022-09-18T01:29:02Z,https://www.theguardian.com/world/2022/sep/18/russia-ukraine-war-latest-what-we-know-on-day-207-of-the-invasion
India is quietly laying claim to economic superpower status,World news,2022-09-12T07:00:06Z,https://www.theguardian.com/world/2022/sep/12/india-is-quietly-laying-claim-to-economic-superpower-status
World leaders pay tribute after death of Queen Elizabeth II,UK news,2022-09-08T20:04:58Z,https://www.theguardian.com/uk-news/2022/sep/08/world-leaders-pay-tribute-death-queen-elizabeth-ii
Muslim woman raped by Hindu mob shocked by release of 11 jailed men ,World news,2022-08-18T12:24:34Z,https://www.theguardian.com/world/2022/aug/18/muslim-woman-raped-by-hindu-mob-shocked-by-release-of-11-jailed-men-india
"After Independence Day, how can India get rid of 200m flags?",World news,2022-08-18T04:00:36Z,https://www.theguardian.com/world/2022/aug/18/after-independence-day-how-can-india-get-rid-of-200m-flags
"Indians forced to buy national flag in return for food rations, says opposition",World news,2022-08-11T12:09:59Z,https://www.theguardian.com/world/2022/aug/11/indian-government-accused-of-forcing-poor-to-buy-independence-day-flags
India: more countries join Muslim protests over Muhammad remarks,World news,2022-06-07T11:26:27Z,https://www.theguardian.com/world/2022/jun/07/india-more-countries-join-muslim-protests-over-muhammad-remarks
Tory devotion to ‘dear friend’ Modi says so much about needy post-Brexit Britain | Nick Cohen,Opinion,2022-05-29T06:00:03Z,https://www.theguardian.com/commentisfree/2022/may/29/tory-devotion-to-dear-friend-modi-says-much-about-needy-post-brexit-britain
Albanese insists ‘we will determine our values’ after Chinese premier reaches out to new PM,Australia news,2022-05-24T09:47:48Z,https://www.theguardian.com/australia-news/2022/may/24/anthony-albanese-tells-quad-summit-australia-will-help-build-stronger-indo-pacific
Boris Johnson is a patsy for populist leaders – as his India visit shows | Mukul Kesavan,Opinion,2022-04-25T13:03:13Z,https://www.theguardian.com/commentisfree/2022/apr/25/boris-johnson-india-visit-muslim-properties-razed-modi-nationalist-policies
Johnson vows to stop UK exports to India ending up in Russia,Politics,2022-04-22T19:20:45Z,https://www.theguardian.com/politics/2022/apr/22/johnson-vows-to-stop-uk-exports-to-india-ending-up-in-russia
The Guardian view on Boris Johnson in India: flying into trouble | Editorial,Opinion,2022-04-22T17:30:30Z,https://www.theguardian.com/commentisfree/2022/apr/22/the-guardian-view-on-boris-johnson-in-india-flying-into-trouble
India and UK to press ahead with talks on free trade deal,World news,2022-04-22T09:45:21Z,https://www.theguardian.com/world/2022/apr/22/india-and-uk-to-press-ahead-with-talks-on-free-trade-deal-modi-johnson
"MPs should wait for ‘full facts’ on Partygate, says Johnson in India",Politics,2022-04-21T11:23:59Z,https://www.theguardian.com/politics/2022/apr/21/boris-johnson-visits-india-modi-as-partygate-row-continues-in-uk
"‘Hatred, bigotry and untruth’: communal violence grips India",World news,2022-04-18T15:55:10Z,https://www.theguardian.com/world/2022/apr/18/hatred-bigotry-and-untruth-communal-violence-grips-india
Morrison’s captain’s pick for NSW seat accused Indian PM of causing ‘hatred and fear’,Australia news,2022-04-14T20:00:12Z,https://www.theguardian.com/australia-news/2022/apr/15/morrisons-captains-pick-for-nsw-seat-accused-indian-pm-of-causing-hatred-and-fear
"Ministers are old enough, but not wise enough to go it alone | Brief letters ",Television & radio,2022-04-11T16:56:12Z,https://www.theguardian.com/tv-and-radio/2022/apr/11/ministers-are-old-enough-but-not-wise-enough-to-go-it-alone
"Russia and India will find ways to trade despite sanctions, says Lavrov",World news,2022-04-01T14:21:57Z,https://www.theguardian.com/world/2022/apr/01/russia-and-india-will-find-ways-to-trade-despite-sanctions-says-lavrov
Liz Truss’s India visit made awkward by presence of Russian counterpart,Politics,2022-03-30T21:30:30Z,https://www.theguardian.com/politics/2022/mar/30/liz-truss-india-visit-narendra-modi-russia-sergei-lavrov
Low turnout for India’s national two-day strike as 50 million join protests,Global development,2022-03-30T12:37:17Z,https://www.theguardian.com/global-development/2022/mar/30/india-national-strike-protests-modi
A Night of Knowing Nothing review – kaleidoscopic doc is cinephilia at its best,Film,2022-03-28T08:00:48Z,https://www.theguardian.com/film/2022/mar/28/a-night-of-knowing-nothing-review
Rift over Ukraine exposed as high-powered UK delegation to India called off,Politics,2022-03-24T07:00:52Z,https://www.theguardian.com/politics/2022/mar/24/rift-over-ukraine-exposed-as-high-powered-uk-delegation-to-india-called-off
BJP claims election victory in four states including Uttar Pradesh,World news,2022-03-10T15:05:24Z,https://www.theguardian.com/world/2022/mar/10/bjp-claims-victory-four-state-elections-uttar-pradesh-yogi-adityanath
"The world leaders pushing for peace in Ukraine, and their motives",World news,2022-03-07T16:33:08Z,https://www.theguardian.com/world/2022/mar/07/the-world-leaders-pushing-for-peace-in-ukraine-and-their-motives
‘A flashy theme park’: outcry over Modi’s plans for the Gandhi ashram,World news,2022-02-25T05:30:04Z,https://www.theguardian.com/world/2022/feb/25/a-flashy-theme-park-outcry-over-modis-plans-for-the-gandhi-ashram
 ‘Shoot them’: Indian state police accused of murdering Muslims and Dalits,Global development,2022-02-22T06:45:02Z,https://www.theguardian.com/global-development/2022/feb/22/uttar-pradesh-elections-hindu-nationalist-yogi-adityanath-police-accused-unlawful-deaths-muslims-dalits
Editor arrested in Kashmir as press crackdown escalates ,World news,2022-02-06T15:30:20Z,https://www.theguardian.com/world/2022/feb/06/editor-arrested-in-kashmir-as-press-crackdown-escalates
"Why PK dumped PVO, ABC banned ‘Scomo’ and Kyle left Jackie saying ‘oh’ | Weekly Beast",Media,2022-02-04T00:39:07Z,https://www.theguardian.com/media/commentisfree/2022/feb/04/why-pk-dumped-pvo-abc-banned-scomo-and-kyle-left-jackie-saying-oh
Oxfam says its work in India is imperilled by ban on foreign funding,World news,2022-01-02T14:20:07Z,https://www.theguardian.com/world/2022/jan/02/oxfam-says-its-work-in-india-is-imperilled-by-ban-on-foreign-funding
Pegasus spyware ‘found on phone of jailed critic of Narendra Modi ’,News,2021-12-17T05:30:19Z,https://www.theguardian.com/news/2021/dec/17/pegasus-spyware-found-on-phone-of-jailed-critic-of-narendra-modi-
How a terrorism law in India is being used to silence Modi’s critics,World news,2021-12-10T05:00:30Z,https://www.theguardian.com/world/2021/dec/10/how-terrorism-law-india-used-to-silence-modis-critics
India’s farmers have won – but this doesn’t mean Modi is softening | Rukmini S,Opinion,2021-11-23T09:50:06Z,https://www.theguardian.com/commentisfree/2021/nov/23/india-farmers-modi-climbdown-dissent
The Guardian view on Modi’s failed farm laws: eating humble pie | Editorial,Opinion,2021-11-22T19:05:22Z,https://www.theguardian.com/commentisfree/2021/nov/22/the-guardian-view-on-modis-failed-farm-laws-eating-humble-pie
Indian PM Narendra Modi to repeal farm laws after year of protests,World news,2021-11-19T17:29:22Z,https://www.theguardian.com/world/2021/nov/19/indian-pm-narendra-modi-to-repeal-farm-laws-after-year-of-protests
‘The strongman blinks’: why Narendra Modi has backed down to farmers,World news,2021-11-19T16:14:05Z,https://www.theguardian.com/world/2021/nov/19/the-strongman-blinks-why-narendra-modi-has-backed-down-to-farmers
‘We are more powerful than Modi’: Indian farmers celebrate U-turn on laws,World news,2021-11-19T13:39:57Z,https://www.theguardian.com/world/2021/nov/19/we-are-more-powerful-than-modi-indian-farmers-celebrate-laws-repealing
Reaching net zero by 2070 is possible – but it’s what India does right now that matters | Joydeep Gupta,Opinion,2021-11-05T12:00:03Z,https://www.theguardian.com/commentisfree/2021/nov/05/net-zero-2070-india-renewables-climate-finance
Is India’s pledge of net zero by 2070 an ambitious target – or worthless words?,World news,2021-11-05T07:00:13Z,https://www.theguardian.com/world/2021/nov/05/is-indias-pledge-of-net-zero-by-2070-an-ambitious-target-or-worthless-words
"India’s huge solar uptake has boosted climate goals, says minister",World news,2021-11-03T13:01:30Z,https://www.theguardian.com/world/2021/nov/03/indias-huge-uptake-in-solar-is-driving-more-ambitious-climate-goals-says-minister
Scott Morrison tells Cop26 Australia will exceed 2030 target in bid to fend off criticism,Australia news,2021-11-01T20:16:49Z,https://www.theguardian.com/environment/2021/nov/02/scott-morrison-tells-cop26-australia-will-exceed-2030-target-in-bid-to-fend-off-criticism
What happened at Cop26 today – day one at a glance,Environment,2021-11-01T19:01:20Z,https://www.theguardian.com/environment/2021/nov/01/what-happened-at-cop26-day-one-at-a-glance
Narendra Modi pledges India will reach net zero emissions by 2070,World news,2021-11-01T17:20:20Z,https://www.theguardian.com/world/2021/nov/01/narendra-modi-pledges-india-will-reach-net-zero-emissions-by-2070
Indian supreme court orders inquiry into state’s use of Pegasus spyware,News,2021-10-27T10:01:42Z,https://www.theguardian.com/news/2021/oct/27/indian-supreme-court-orders-inquiry-into-states-use-of-pegasus-spyware
Narendra Modi exploits nationalism to distract Indians from a failing economy | Ravinder Kaur,Opinion,2021-08-20T09:00:31Z,https://www.theguardian.com/commentisfree/2021/aug/20/narendra-modi-exploits-nationalism-distract-indians-failing-economy
The unravelling of a conspiracy: were the 16 charged with plotting to kill India’s prime minister framed?,World news,2021-08-12T11:00:16Z,https://www.theguardian.com/world/2021/aug/12/bhima-koregaon-case-india-conspiracy-modi
"Ban Amnesty over Pegasus leaks role, Indian politician urges",News,2021-07-21T14:40:48Z,https://www.theguardian.com/news/2021/jul/21/ban-amnesty-over-pegasus-leaks-role-indian-politician-urges
Modi accused of treason by opposition over India spyware disclosures,News,2021-07-19T17:33:06Z,https://www.theguardian.com/news/2021/jul/19/modi-accused-treason-opposition-india-spyware-disclosures
Key Modi rival Rahul Gandhi among potential Indian targets of NSO client,News,2021-07-19T11:00:56Z,https://www.theguardian.com/news/2021/jul/19/key-modi-rival-rahul-gandhi-among-indian-targets-of-nso-client
Student’s rape and murder puts India’s sexual violence under spotlight again,Global development,2021-06-11T05:00:10Z,https://www.theguardian.com/global-development/2021/jun/11/students-and-puts-indias-sexual-violence-under-spotlight-again
Modi’s bulldozing of parliament shows him as the architect of a Hindu Taliban | Anish Kapoor,Art and design,2021-06-04T14:27:31Z,https://www.theguardian.com/artanddesign/2021/jun/04/modi-parliament-taliban-anish-kapoor
Trouble in paradise: Indian islands face ‘brazen’ new laws and Covid crisis,Global development,2021-06-04T05:00:30Z,https://www.theguardian.com/global-development/2021/jun/04/trouble-in-paradise-indian-islands-face-brazen-new-laws-and-covid-crisis
Officials take police action against leaders of bulldozed mosque in India,World news,2021-05-21T12:29:54Z,https://www.theguardian.com/world/2021/may/21/officials-take-police-action-against-leaders-of-bulldozed-mosque-in-india
Indian authors speak out over plan to reissue Narendra Modi exam book,Books,2021-05-20T12:53:37Z,https://www.theguardian.com/books/2021/may/20/indian-authors-speak-out-over-plan-to-reissue-narendra-modi-exam-book
‘Everybody is angry’: Modi under fire over India’s Covid second wave,World news,2021-05-17T04:00:13Z,https://www.theguardian.com/world/2021/may/17/everybody-is-angry-modi-under-fire-over-indias-covid-second-wave
India’s Covid anguish fuels calls to release rights activists from jail,World news,2021-05-13T09:07:05Z,https://www.theguardian.com/world/2021/may/13/india-covid-anguish-fuels-calls-to-release-human-rights-activists-from-jails
India is hiding its Covid crisis – and the whole world will suffer for it | Ankita Rao,Opinion,2021-05-06T10:17:05Z,https://www.theguardian.com/commentisfree/2021/may/06/india-covid-crisis-narenda-modi-government-hiding
The darkest hour- India’s Covid crisis: Inside the 7 May Guardian Weekly,News,2021-05-05T08:00:09Z,https://www.theguardian.com/news/2021/may/05/the-darkest-hour--indias-covid-crisis-inside-the-7-may-guardian-weekly
"Looking at India from afar, I’m furious at Modi’s wilful neglect of my homeland",Opinion,2021-05-04T16:13:27Z,https://www.theguardian.com/commentisfree/2021/may/04/india-modi-covid
Johnson and Modi to agree UK-India trade partnership in virtual talks,Politics,2021-05-03T21:30:11Z,https://www.theguardian.com/politics/2021/may/03/johnson-and-modi-to-agree-uk-india-trade-partnership-in-virtual-talks
Covering India’s Covid crisis: ‘Hundreds of journalists have lost their lives’,Membership,2021-05-03T06:00:53Z,https://www.theguardian.com/membership/2021/may/03/india-covid-deaths-crisis-kumbh-mela
Narendra Modi loses key state election as Covid grips India,World news,2021-05-02T16:38:36Z,https://www.theguardian.com/world/2021/may/02/narendra-modi-loses-key-state-election-west-bengal-covid-grips-india
Grief and anger as Covid victims overwhelm Delhi’s crematoriums ,World news,2021-04-30T11:25:02Z,https://www.theguardian.com/world/2021/apr/30/covid-victims-overwhelm-delhi-crematoriums
Facebook blocked hashtag calling for Narendra Modi to resign over pandemic,Technology,2021-04-28T21:52:20Z,https://www.theguardian.com/technology/2021/apr/28/facebook-blocked-resignmodi-hashtag-india-coronavirus
Vaccine hoarding is all the more disturbing as a Covid disaster unfolds in India  | Gaby Hinsliff,Opinion,2021-04-26T13:55:29Z,https://www.theguardian.com/commentisfree/2021/apr/26/vaccine-hoarding-covid-tragedy-india-britain-vaccinated
US and UK lead global efforts to help India’s Covid crisis,World news,2021-04-25T18:26:57Z,https://www.theguardian.com/world/2021/apr/25/us-pressed-to-lift-export-ban-to-help-india-fight-surge-in-covid-cases
The Guardian view on Modi’s mistakes: a pandemic that is out of control  | Editorial,Global,2021-04-23T17:01:02Z,https://www.theguardian.com/world/commentisfree/2021/apr/23/the-guardian-view-on-modis-mistakes-a-pandemic-that-is-out-of-control
India's government has abandoned its citizens to face a deadly second wave alone | Rukmini S,Opinion,2021-04-21T11:23:40Z,https://www.theguardian.com/commentisfree/2021/apr/21/indias-government-abandoned-citizens-deadly-second-covid-wave
Why is India seeing such a huge surge in Covid-19 cases?,World news,2021-04-21T05:33:06Z,https://www.theguardian.com/world/2021/apr/21/why-is-india-seeing-such-a-huge-surge-in-covid-19-cases
Narendra Modi: Covid resurgence in India like being ‘hit by a storm’ ,World news,2021-04-20T17:13:49Z,https://www.theguardian.com/world/2021/apr/20/narendra-modi-covid-resurgence-in-india-like-being-hit-by-a-storm
Tech giants happy to do Narendra Modi’s bidding in return for access to Indian market | John Naughton,Technology,2021-04-17T15:00:37Z,https://www.theguardian.com/technology/commentisfree/2021/apr/17/tech-giants-happy-to-do-narendra-modis-bidding-indian-market-facebook-twitter
‘A tsunami of cases’: desperation as Covid second wave batters India,World news,2021-04-14T02:00:26Z,https://www.theguardian.com/world/2021/apr/14/a-tsunami-of-cases-desperation-as-covid-second-wave-batters-india
UK faces difficult path as it resumes courtship with India,UK news,2021-04-06T04:00:55Z,https://www.theguardian.com/uk-news/2021/apr/06/uk-faces-difficult-path-as-it-resumes-courtship-with-india
Modi critic's resignation from Indian university post prompts outcry,World news,2021-03-19T14:53:13Z,https://www.theguardian.com/world/2021/mar/19/modi-critics-resignation-from-indian-university-post-sparks-outcry
UK foreign policy review will focus on China's growing power,Politics,2021-03-05T16:41:25Z,https://www.theguardian.com/politics/2021/mar/05/uk-foreign-policy-review-china-asia-brexit
"British Sikh 'tortured' in India after arrest must be freed, say MPs",World news,2021-02-28T19:47:37Z,https://www.theguardian.com/world/2021/feb/28/british-sikh-tortured-in-india-after-arrest-must-be-freed-say-mps
Delhi Muslims fear they will never see justice for religious riot atrocities,World news,2021-02-28T06:00:06Z,https://www.theguardian.com/world/2021/feb/28/delhi-muslims-fear-they-will-never-see-justice-for-religious-riot-atrocities
"If India can charge journalists with ‘sedition’ for doing their jobs, it has no free press | Hartosh Singh Bal",Opinion,2021-02-06T10:00:38Z,https://www.theguardian.com/commentisfree/2021/feb/06/india-journalists-sedition-no-free-press-police-farmers-modi
Violent clashes as Indian farmers storm Delhi's Red Fort,World news,2021-01-26T13:44:52Z,https://www.theguardian.com/world/2021/jan/26/violent-clashes-as-indian-farmers-storm-delhis-red-fort
The Guardian view on India's farming revolt: a bitter harvest | Editorial,Opinion,2021-01-24T18:25:05Z,https://www.theguardian.com/commentisfree/2021/jan/24/the-guardian-view-on-indias-farming-revolt-a-bitter-harvest
'We are worried': Indians hopeful but anxious as vaccination drive begins,Global development,2021-01-17T16:33:56Z,https://www.theguardian.com/global-development/2021/jan/17/indian-hopeful-anxious-covid-vaccination-drive-begins
Trump social media ban sparks calls for action against other populist leaders,Media,2021-01-17T08:00:12Z,https://www.theguardian.com/media/2021/jan/17/trump-social-media-ban-jair-bolsonaro-narendra-modi
Mahatma Gandhi's killer venerated as Hindu nationalism resurges in India,World news,2021-01-17T05:00:07Z,https://www.theguardian.com/world/2021/jan/17/mahatma-gandhis-killer-venerated-as-hindu-nationalism-resurges-in-india
India begins world's biggest Covid vaccination programme,World news,2021-01-16T08:57:01Z,https://www.theguardian.com/world/2021/jan/16/india-begins-worlds-biggest-covid-vaccination-programme
India's supreme court gives go-ahead for controversial new parliament building,World news,2021-01-05T18:03:50Z,https://www.theguardian.com/world/2021/jan/05/indias-supreme-court-gives-go-ahead-for-controversial-new-parliament-building
India's approval of covid vaccines triggers mass immunisation drive,World news,2021-01-03T13:47:14Z,https://www.theguardian.com/world/2021/jan/03/indias-approval-of-twin-vaccines-triggers-mass-immunisation-drive
